"geneid","coef"
"Intercept",27.2341051272572
"GHR",0.819995556292748
"SHC1",1.09954203550677
"PROP1",2.65811768515535
"ATM",6.18356222418333
"PLAU",-0.917321759750396
"ERCC8",-1.17991027610838
"IGF1R",-0.235326029625842
"TXN",1.66045910361927
"NFKB2",-0.586225597643183
"STAT3",0.0913118404430919
"HDAC3",-1.08842206305923
"IL7R",3.86188205627552
"IGF1",-1.69664100525745
"IGF2",2.60696269650744
"NGF",4.33156168262099
"IRS2",0.998720919565394
"MYC",-0.0897042805363222
"INSR",1.11996563530227
"NBN",2.55538880204767
"IL2",-17.6948847302635
"EGF",1.09255122215691
"IL2RG",-0.323043322406435
"PDGFRB",-0.379399462979872
"SST",-1.83425002309756
"PRKCD",-0.266763513563348
"PPARA",-1.08088195448945
"PLCG2",5.55882527509498
"PEX5",-2.23798361807385
"TCF3",-1.97554282864055
"BRCA1",-2.56586972863579
"PTEN",-1.39473343118506
"CREBBP",4.01794493546038
"HIF1A",0.129877713392949
"UBB",1.3799185289319
"RPA1",2.25840534512218
"BCL2",-3.14028895151148
"S100B",-0.290100687972292
"HSP90AA1",0.200554399549919
"EGR1",0.0798411390283301
"TOP2A",-2.70361746156068
"RAD51",-0.548341984662827
"UBE2I",0.276847051523692
"MXI1",-1.02521748065276
"STK11",1.92660291697997
"APTX",-0.668016142243946
"PML",0.160653264526904
"HTT",1.50456662357523
"PRKCA",2.17083764070567
"HELLS",-3.29653733665185
"APOC3",-0.350549233032405
"ERCC3",-2.35554829154894
"CAT",-0.390769218105417
"AR",-0.523773703004525
"RB1",0.375215283369098
"FOXO1",0.0359289558299279
"XPA",-1.14698497292714
"RECQL4",-1.78056749695864
"COQ7",2.36987488471154
"CACNA1A",3.37076490126115
"UCHL1",-0.923070882881911
"A2M",0.829480072123984
"SNCG",1.99765160212255
"IL6",0.538615036564157
"ERCC1",0.324540150393169
"HDAC1",-1.13376454530257
"HSPA1A",-0.0259062874705468
"HSPA1B",-0.188567992984544
"PCMT1",0.645048135269343
"PTK2B",0.917115151007786
"MAPK14",0.474907657079253
"FGFR1",-0.549738302091819
"FLT1",1.91182027271142
"JUN",0.193278930341364
"MAPK9",0.0352262076886707
"HMGB1",3.18869912798593
"HMGB2",-0.0728984729840696
"TAF1",-0.264876870096683
"LMNB1",0.0842740226962986
"HESX1",-0.0447928372462608
"PIK3R1",0.0288750514568862
"BSCL2",-0.654160994000419
"BMI1",-0.546973792685872
"EEF1A1",1.15325819414473
"TFAP2A",-6.05989943297531
"ATF2",-0.0673772560650608
"APEX1",-0.286989643336743
"BUB1B",-1.38130968130383
"PTGS2",-1.19853880158016
"SIN3A",-2.14250132351972
"CDK1",-1.65073302935176
"DDIT3",-0.931547312634553
"POLA1",6.52034239613017
"MAPT",-1.96094699365897
"SUMO1",0.035122536468958
"H2AFX",0.734095992309279
"JAK2",-2.1882080184797
"LEP",-0.48793830702217
"LEPR",0.0728049381924741
"MTOR",-1.02315807326752
"GHRHR",3.08825963094397
"CTNNB1",-1.35065765467016
"DLL3",-14.970312540311
"CDKN2A",13.0971373769789
"PPP1CA",-1.48192933051481
"NOG",0.131403356352746
"UCP3",-0.243097222856447
"UCP2",1.36403379036041
"POLB",0.62963829862273
"GCLM",-2.51892027054195
"PPM1D",-0.366869774675845
"CHEK2",-0.791526144673829
"PCK1",-2.19849129254964
"ARHGAP1",-0.100409739461782
"HIC1",0.00739306125377437
"ADCY5",-2.93492359349406
"UCP1",24.1216868628067
"EFEMP1",0.359997436850748
"CETP",-2.2894329161889
"PPARG",-0.633973484846792
"EPS8",-3.93849569827708
"KCNA3",-12.2916205920915
"SLC13A1",13.4700966872697
"SOCS2",-2.11248778001842
"TPP2",0.378536102527126
"BAK1",-0.62488232526404
"IGFBP2",-1.57139704686593
"PYCR1",-1.22541116106915
"TP73",-0.588997223283506
"CNR1",-1.27722844176719
"CDKN1A",0.0071509128092938
"PIK3CA",-2.40212790660771
"C1QA",0.995457015803916
"CDKN2B",1.59951952104766
"MT1E",-0.461769881396709
"FGF21",1.85256678775754
"HTRA2",-0.0717356989179002
"GSK3A",-0.644431170914523
"IKBKB",1.95525387629338
"SQSTM1",-0.80073311982058
"CDK7",-1.832389060513
"CTF1",1.31382612651869
"TRAP1",0.899630963747984
"TRPV1",1.2086495493673
"NFE2L1",-1.0479512815993
"GDF11",2.52652397276777
